Date	Count
2022-01-01	21
2022-01-02	21
2022-01-03	31
2022-01-04	33
2022-01-05	43
2022-01-06	45
2022-01-07	60
2022-01-08	20
2022-01-09	26
2022-01-10	56
2022-01-11	42
2022-01-12	35
2022-01-13	54
2022-01-14	64
2022-01-15	38
2022-01-16	19
2022-01-17	27
2022-01-18	59
2022-01-19	67
2022-01-20	69
2022-01-21	58
2022-01-22	50
2022-01-23	38
2022-01-24	89
2022-01-25	76
2022-01-26	83
2022-01-27	94
2022-01-28	91
2022-01-29	60
2022-01-30	39
2022-01-31	67
2022-02-01	77
2022-02-02	57
2022-02-03	74
2022-02-04	54
2022-02-05	35
2022-02-06	27
2022-02-07	47
2022-02-08	68
2022-02-09	52
2022-02-10	82
2022-02-11	99
2022-02-12	48
2022-02-13	28
2022-02-14	55
2022-02-15	50
2022-02-16	65
2022-02-17	59
2022-02-18	69
2022-02-19	42
2022-02-20	29
2022-02-21	50
2022-02-22	63
2022-02-23	87
2022-02-24	91
2022-02-25	56
2022-02-26	46
2022-02-27	30
2022-02-28	63
2022-03-01	85
2022-03-02	78
2022-03-03	88
2022-03-04	98
2022-03-05	76
2022-03-06	56
2022-03-07	195
2022-03-08	164
2022-03-09	105
2022-03-10	110
2022-03-11	162
2022-03-12	97
2022-03-13	78
2022-03-14	138
2022-03-15	172
2022-03-16	150
2022-03-17	131
2022-03-18	126
2022-03-19	58
2022-03-20	59
2022-03-21	108
2022-03-22	122
2022-03-23	123
2022-03-24	122
2022-03-25	97
2022-03-26	72
2022-03-27	75
2022-03-28	160
2022-03-29	230
2022-03-30	199
2022-03-31	144
2022-04-01	203
2022-04-02	96
2022-04-03	92
2022-04-04	156
2022-04-05	154
2022-04-06	206
2022-04-07	160
2022-04-08	151
2022-04-09	113
2022-04-10	101
2022-04-11	190
2022-04-12	241
2022-04-13	200
2022-04-14	216
2022-04-15	128
2022-04-16	76
2022-04-17	65
2022-04-18	151
2022-04-19	149
2022-04-20	170
2022-04-21	150
2022-04-22	168
2022-04-23	133
2022-04-24	82
2022-04-25	168
2022-04-26	218
2022-04-27	216
2022-04-28	465
2022-04-29	353
2022-04-30	170
2022-05-01	141
2022-05-02	255
2022-05-03	168
2022-05-04	318
2022-05-05	486
2022-05-06	381
2022-05-07	208
2022-05-08	153
2022-05-09	403
2022-05-10	370
2022-05-11	456
2022-05-12	439
2022-05-13	324
2022-05-14	189
2022-05-15	189
2022-05-16	399
2022-05-17	386
2022-05-18	671
2022-05-19	815
2022-05-20	622
2022-05-21	363
2022-05-22	261
2022-05-23	408
2022-05-24	560
2022-05-25	417
2022-05-26	444
2022-05-27	314
2022-05-28	154
2022-05-29	170
2022-05-30	246
2022-05-31	348
2022-06-01	375
2022-06-02	366
2022-06-03	380
2022-06-04	318
2022-06-05	239
2022-06-06	339
