UserName,Date,NumofFollowers,Location,NumofLikes,Content
EricMMatheny,7/28/22,276981,florida,15257,"this is joe biden’s recession. 100%. he owns this. and yes, we are very much in a #recession."
CerfiaFR,8/23/22,448109,france,10488,"________ historique | pour la première fois depuis sa mise en circulation il y a 20 ans, un #euros équivaut à moins d’un #dollar américain. "
,,,,,
,,,,,(cf) #récession https://t.co/heqgzfx2qw
CerfiaFR,7/12/22,448113,france,10403,"________ historique | pour la première fois depuis 2002, 1 #dollar américain équivaut à 1 #euro. "
,,,,,
,,,,,(cf) #récession https://t.co/oc9hbwu0n5
DIVIZIO1,7/28/22,262071,france,7061,"vu la crise qui nous attend et l’incompétence de @emmanuelmacron , il faudra bien poser la question de sa destitution ! il faudra bien l’obliger à partir et cesser ce soutien plus que stupide à la guerre qui nous tue  à une vitesse folle ! #recession #macrondestitution"
TrediciTrading,7/25/22,595,"plainfield, il",5638,what's next?
,,,,,#recession #fjbiden https://t.co/igdgwtxblq
satishacharya,10/12/22,314041,kundapur (near udupi),4691,"recession in 2023, warns imf. #recession https://t.co/fdvvjbv89i"
realMeetKevin,5/8/22,302900,"ventura county, ca",4285,average household income of users:
,,,,,"-android: $61,000"
,,,,,"-apple: $80,000"
,,,,,"-tesla: $146,623"
,,,,,"-toyota: $57,000"
,,,,,"-walmart: $56,482"
,,,,,"-kohls: $69,422"
,,,,,"-costco: $93,000"
,,,,,"-bmw: $124,800"
,,,,,"-f-150: $82,000"
,,,,,
,,,,,"in a #recession, i invest where the higher-income spenders are and there’s excess demand $tsla"
MarcTouati,10/7/22,25922,paris,3964,"france : nouveau double record historique pour le déficit commercial à 15,3 milliards d’euros sur 1 mois et 139 milliards d’euros sur 1 an."
,,,,,une vraie catastrophe qui s'aggrave chaque mois dans l'indifférence générale. le réveil sera douloureux...
,,,,,#france #deficit #recession https://t.co/gf8cni26va
satishacharya,8/3/22,314041,kundapur (near udupi),3944,no recession in india- nirmala sitharaman. #recession #inflation https://t.co/pjbzcpdlwc
wayne_addo,6/13/22,454,earth,3406,finding the cause to inflation by economists.
,,,,,
,,,,,#inflation #recession #8.6% in may #marketcrash #stockmarketcrash https://t.co/pbz41vpo7o
