UserName,Date,NumofFollowers,Location,NumofLikes,Content
mcmiti_,7/28/22,10511,,3817,be obediently useful... retweet till this goes viral. 
,,,,,
,,,,,#gistlover #recession goodluck jonathan #bbnaija7 $300 billion abuja ss and se bella barcelona igbos ondo south south @firstladyship @nglabour @peterobi https://t.co/rly1gmaau2
realMeetKevin,4/28/22,302901,"ventura county, ca",1607,don’t worry everyone! the #recession is transitory!
WallStreetSilv,10/16/22,535407,,1490,the queen has spoken __
,,,,,
,,,,,#recession https://t.co/4wjbswscys
glennbeck,7/28/22,1599560,"dallas, tx. rockies, nyc.",1239,"two back to back quarters of gdp contraction have only signaled a #recession 10 out of the 10 most recent times. but this time it's different, because wow, this joe biden economy is so great. now, you need two jobs!"
ThatEvilLife,7/25/22,2308,"wales, united kingdom",1051,welcome to #brexitbritain 2022.
,,,,,andrew pierce #jeremyvine gb news starmer nads nadine dorries simon calder #brexitreality rache reeves #bbcbreakfast #r4today eurotunnel #kayburley  #recession #brexitchaos #brexitshambles #toryleadershipfarce #johnsonout182 brexiteers labour https://t.co/1lfgi0u4c7
PeterSchiff,5/19/22,886629,,1045,"safe haven buying in the swiss franc and japanese yen over the past two days, plus the rise in the price of #gold, could indicate markets are beginning to wake up to the reality that the u.s. economy is already in #recession and the #fed will ease policy despite high #inflation."
PeterSchiff,6/27/22,886611,,1007,busts are usually proportionate to the artificial booms that precede them. we had a financial crisis in 2008 and great #recession because the boom the #fed created with 1% interest rates for about two years was so large. imagine what follows 0% interest rates for nearly 14 years!
PeterSchiff,8/3/22,886577,,978,"the yield on a one-year treasury bill now exceeds the yield on a 30-year u.s. treasury bond. that not only confirms #recession, but that investors are confident that #inflation will return to 2% and stay there for 30 years. bond yields will soar once investors realize the truth."
PeterSchiff,4/12/22,886636,,827,"the yield curve is no longer inverted at any point. 5s are higher than 2s, 10s are higher than 5s &amp; 30s are higher than 10s, with 30s the only maturity higher on the day. this means investors are pricing in a #recession starting sooner and #inflation lasting longer. #stagflation!"
AdeParimal,7/27/22,214456,internet ,721,this reminds me of cat examination. india scores 100 percentile__ #recession https://t.co/rjkrwkjn8o
